type,mass,luminosity,radius,temp,ci,absmag,bolocorr,bolomag,r,g,b
DA,0.56,0.72097003,0.008756,24258,0.033,12.8,-1.839,10.961,0.7988,0.8188,0.9384
DB,0.56,0.72097003,0.008756,24258,0.033,12.8,-1.839,10.961,0.7988,0.8349,0.9843
DC,0.56,0.72097003,0.008756,24258,0.033,12.8,-1.839,10.961,0.7988,0.8349,0.9843
DO,0.56,0.72097003,0.008756,24258,0.033,12.8,-1.839,10.961,0.7988,0.8349,0.9843
DQ,0.56,0.72097003,0.008756,24258,0.033,12.8,-1.839,10.961,0.7988,0.8349,0.9843
DZ,0.56,0.72097003,0.008756,24258,0.033,12.8,-1.839,10.961,0.7988,0.8349,0.9843
A-Ia,11.67,165200,174.2,9030,0.008,-7.96,-0.288,-8.248,0.8216,0.8639,1.0000
B-Ia,26.95,329600,56.57,18955,-0.211,-7.07,-1.856,-8.926,0.7133,0.7902,1.0000
C-Ia,11.50,12638800,13797.3,3329.3,1.629,-7.3,-3.17,-10.47,1.0000,0.7600,0.3784
F-Ia,9.21,173900,288.3,7047.1,0.382,-8.22,-0.108,-8.328,0.9298,0.9235,0.9851
G-Ia,7.44,169300,659.7,4745.8,1.016,-7.65,-0.654,-8.304,1.0000,0.9004,0.7475
K-Ia,9.83,254900,1178,3849.6,1.343,-7.32,-1.44,-8.76,1.0000,0.8204,0.5831
M-Ia,11.18,14829500,17342,2845,1.857,-7.02,-4.203,-11.223,1.0000,0.7071,0.2992
N-Ia,11.18,14829500,17342,2845,1.857,-7.02,-4.203,-11.223,1.0000,0.7071,0.2992
O-Ia,125.10,1617400,29.18,39000,-0.327,-6.88,-3.815,-10.695,0.6039,0.6875,1.0000
R-Ia,11.71,206500,914.2,4184.3,1.214,-7.45,-1.069,-8.519,1.0000,0.8529,0.6588
S-Ia,11.18,14829500,17342,2845,1.857,-7.02,-4.203,-11.223,1.0000,0.7071,0.2992
WC-Ia,125.10,1617400,29.18,39000,-0.327,-6.88,-3.815,-10.695,0.6039,0.6875,1.0000
WN-Ia,125.10,1617400,29.18,39000,-0.327,-6.88,-3.815,-10.695,0.6039,0.6875,1.0000
A-Ia0,13.56,236800,208.4,9030,0.008,-8.39,-0.288,-8.678,0.7592,0.8161,1.0000
B-Ia0,30.74,1146600,98.6,18955,-0.211,-8.32,-1.856,-10.176,0.6475,0.7267,1.0000
C-Ia0,13.67,87098300,36124,3329.3,1.629,-9.28,-3.17,-12.45,1.0000,0.8455,0.6949
F-Ia0,10.78,357300,428.4,7047.1,0.382,-9.01,-0.108,-9.118,0.9239,0.9267,0.9988
G-Ia0,11.75,880100,1512.3,4745.8,1.016,-9.4,-0.654,-10.054,1.0000,0.9569,0.9353
K-Ia0,14.65,1605000,2956,3849.6,1.343,-9.31,-1.44,-10.75,1.0000,0.8584,0.7180
M-Ia0,13.37,105126000,46416,2845,1.857,-9.18,-4.203,-13.383,1.0000,0.7835,0.4973
N-Ia0,13.37,105126000,46416,2845,1.857,-9.18,-4.203,-13.383,1.0000,0.7820,0.4780
O-Ia0,134.69,12227777.78,77.68888889,37777.77778,-0.324444444,-9,-3.73,-12.73,0.5983,0.6815,1.0000
R-Ia0,13.90,1193600,2202,4184.3,1.214,-9.33,-1.069,-10.399,0.9604,0.8686,0.7973
S-Ia0,13.37,105126000,46416,2845,1.857,-9.18,-4.203,-13.383,1.0000,0.7820,0.4780
WC-Ia0,137.22,14415000,77.94,39000,-0.327,-9.05,-3.815,-12.865,0.6412,0.6941,0.9424
WN-Ia0,137.22,14415000,77.94,39000,-0.327,-9.05,-3.815,-12.865,0.5949,0.6784,1.0000
A-Ib,9.75,12120,46.36,9030,0.008,-5.16,-0.288,-5.448,0.8216,0.8639,1.0000
B-Ib,23.15,106650,29.53,18955,-0.211,-5.71,-1.856,-7.566,0.7133,0.7902,1.0000
C-Ib,9.28,2609477,6156.1,3329.3,1.629,-4.96,-3.17,-8.13,1.0000,0.7600,0.3784
F-Ib,7.65,8206,63.36,7047.1,0.382,-4.92,-0.108,-5.028,0.9298,0.9235,0.9851
G-Ib,3.12,10889,167.61,4745.8,1.016,-4.65,-0.654,-5.304,1.0000,0.9004,0.7475
K-Ib,5.00,33390,423.6,3849.6,1.343,-5.04,-1.44,-6.48,1.0000,0.8204,0.5831
M-Ib,8.99,2730160,7625.5,2845,1.857,-5.38,-4.203,-9.583,1.0000,0.7071,0.2992
N-Ib,8.99,2730160,7625.5,2845,1.857,-5.38,-4.203,-9.583,1.0000,0.7071,0.2992
O-Ib,112.98,1139500,23.08,39000,-0.327,-6.4,-3.815,-10.215,0.6039,0.6875,1.0000
R-Ib,9.50,25747,319.4,4184.3,1.214,-5,-1.069,-6.069,1.0000,0.8529,0.6588
S-Ib,8.99,2730160,7625.5,2845,1.857,-5.38,-4.203,-9.583,1.0000,0.7071,0.2992
WC-Ib,112.98,1139500,23.08,39000,-0.327,-6.4,-3.815,-10.215,0.6039,0.6875,1.0000
WN-Ib,112.98,1139500,23.08,39000,-0.327,-6.4,-3.815,-10.215,0.6039,0.6875,1.0000
A-Iab,10.71,88660,110.28,9030,0.008,-6.56,-0.288,-6.848,0.8216,0.8639,1.0000
B-Iab,25.05,218125,43.05,18955,-0.211,-6.39,-1.856,-8.246,0.7133,0.7902,1.0000
C-Iab,9.28,2609477,6156.1,3329.3,1.629,-4.96,-3.17,-8.13,1.0000,0.7600,0.3784
F-Iab,8.43,91053,175.83,7047.1,0.382,-6.57,-0.108,-6.678,0.9298,0.9235,0.9851
G-Iab,5.28,90094.5,413.655,4745.8,1.016,-6.15,-0.654,-6.804,1.0000,0.9004,0.7475
K-Iab,7.42,144145,800.8,3849.6,1.343,-6.18,-1.44,-7.62,1.0000,0.8204,0.5831
M-Iab,10.09,8779830,12483.75,2845,1.857,-6.2,-4.203,-10.403,1.0000,0.7071,0.2992
N-Iab,10.09,8779830,12483.75,2845,1.857,-6.2,-4.203,-10.403,1.0000,0.7071,0.2992
O-Iab,119.04,1378450,26.13,39000,-0.327,-6.64,-3.815,-10.455,0.6039,0.6875,1.0000
R-Iab,10.61,116123.5,616.8,4184.3,1.214,-6.225,-1.069,-7.294,1.0000,0.8529,0.6588
S-Iab,10.09,8779830,12483.75,2845,1.857,-6.2,-4.203,-10.403,1.0000,0.7071,0.2992
WC-Iab,119.04,1378450,26.13,39000,-0.327,-6.64,-3.815,-10.455,0.6039,0.6875,1.0000
WN-Iab,119.04,1378450,26.13,39000,-0.327,-6.64,-3.815,-10.455,0.6039,0.6875,1.0000
A-II,7.85,1572,17.28,8775,0.05,-2.92,-0.256,-3.176,0.8216,0.8639,1.0000
B-II,19.36,59471,16.82,19855,-0.219,-4.56,-1.955,-6.515,0.7133,0.7902,1.0000
C-II,7.10,332763,2166.8,3329.3,1.629,-2.69,-3.17,-5.86,1.0000,0.7600,0.3784
F-II,6.09,798.6,21.33,6770,0.443,-2.41,-0.094,-2.504,0.9298,0.9235,0.9851
G-II,2.55,1382.8,59.92,4745.8,1.016,-2.39,-0.654,-3.044,1.0000,0.9004,0.7475
K-II,3.92,3102,130,3849.6,1.343,-2.52,-1.44,-3.96,1.0000,0.8204,0.5831
M-II,6.82,402398,2817,2845,1.857,-2.84,-4.203,-7.043,1.0000,0.7071,0.2992
N-II,6.82,402398,2817,2845,1.857,-2.84,-4.203,-7.043,1.0000,0.7071,0.2992
O-II,100.87,1012900,20.02,40100,-0.331,-6.15,-3.904,-10.054,0.6039,0.6875,1.0000
R-II,7.32,2283,96.11,4184.3,1.214,-2.5,-1.069,-3.569,1.0000,0.8529,0.6588
S-II,6.82,402398,2817,2845,1.857,-2.84,-4.203,-7.043,1.0000,0.7071,0.2992
WC-II,100.87,1012900,20.02,40100,-0.331,-6.15,-3.904,-10.054,0.6024,0.6878,1.0000
WN-II,100.87,1012900,20.02,40100,-0.331,-6.15,-3.904,-10.054,0.6039,0.6875,1.0000
A-III,5.95,73.23,3.583,8775,0.05,0.51,-0.256,0.254,0.7557,0.8196,1.0000
B-III,15.55,21789.9,7.385,19855,-0.219,-2.58,-1.955,-4.535,0.6761,0.7631,1.0000
C-III,4.90,22504.61,587.49,3329.3,1.629,-0.14,-3.17,-3.31,1.0000,0.8365,0.5882
F-III,4.54,23.52,3.691,6770,0.443,1.43,-0.094,1.336,0.9369,0.9365,0.9882
G-III,2.02,91.8,15.443,4745.8,1.016,0.6,-0.654,-0.054,1.0000,0.9251,0.8129
K-III,2.81,364.2,43.94,3849.6,1.343,-0.09,-1.44,-1.53,1.0000,0.8514,0.6224
M-III,4.63,27355.8,764.98,2845,1.857,-0.44,-4.203,-4.643,1.0000,0.7773,0.4392
N-III,4.63,27355.8,764.98,2845,1.857,-0.44,-4.203,-4.643,1.0000,0.7773,0.4392
O-III,88.75,819600,16.98,40100,-0.331,-5.78,-3.904,-9.684,0.5961,0.6894,1.0000
R-III,5.12,288.81,33.74,4184.3,1.214,-0.1,-1.069,-1.169,1.0000,0.8698,0.6706
S-III,4.63,27355.8,764.98,2845,1.857,-0.44,-4.203,-4.643,1.0000,0.7773,0.4392
WC-III,88.75,819600,16.98,40100,-0.331,-5.78,-3.904,-9.684,0.5953,0.6859,1.0000
WN-III,88.75,819600,16.98,40100,-0.331,-5.78,-3.904,-9.684,0.5961,0.6894,1.0000
A-IV,4.07,38.99,2.58,8775,0.05,1.23,-0.256,0.974,0.7800,0.8298,1.0000
B-IV,11.76,15096.6,6.082,19855,-0.219,-2.14,-1.955,-4.095,0.6533,0.7322,1.0000
C-IV,2.71,884.277,103.301,3780,1.45,3.15,-2.554,0.596,1.0000,0.9333,0.7588
F-IV,2.96,14.39,2.829,6770,0.443,1.99,-0.094,1.896,0.9388,0.9373,0.9961
G-IV,1.48,6.443,2.909,5505,0.772,2.99,-0.262,2.728,1.0000,0.9341,0.8600
K-IV,1.76,11.747,6.745,4270,1.183,3.15,-1.012,2.138,1.0000,0.8341,0.6090
M-IV,2.45,1221,163.64,2750,1.903,3.25,-4.464,-1.214,1.0000,0.7635,0.4745
N-IV,2.45,1221,163.64,2750,1.903,3.25,-4.464,-1.214,1.0000,0.7635,0.4745
O-IV,76.62,581000,14.54,40100,-0.331,-5.45,-3.904,-9.354,0.5973,0.6773,1.0000
